dates;flow
2020-01-25T07:00:00Z;   0
2020-01-25T07:30:00Z;   0
2020-01-25T08:00:00Z;   0
2020-01-25T08:30:00Z;   0
2020-01-25T09:00:00Z;   0
2020-01-25T09:30:00Z;   0
2020-01-25T10:00:00Z;   0
2020-01-25T10:30:00Z;   0
2020-01-25T11:00:00Z;   0
2020-01-25T11:30:00Z;   0
2020-01-25T12:00:00Z;   0
2020-01-25T12:30:00Z;   0
2020-01-25T13:00:00Z;   0
2020-01-25T13:30:00Z;   0
2020-01-25T14:00:00Z;   0
2020-01-25T14:30:00Z;   0
2020-01-25T15:00:00Z;   0
2020-01-25T15:30:00Z;   0
2020-01-25T16:00:00Z;   0
2020-01-25T16:30:00Z;   0
2020-01-25T17:00:00Z;   0
2020-01-25T17:30:00Z;   0
2020-01-25T18:00:00Z;   0
2020-01-25T18:30:00Z;   0
2020-01-25T19:00:00Z;-544
2020-01-25T19:30:00Z;-611
2020-01-25T20:00:00Z;-578
2020-01-25T20:30:00Z;-494
2020-01-25T21:00:00Z;-392
2020-01-25T21:30:00Z;-339
2020-01-25T22:00:00Z;-339
2020-01-25T22:30:00Z;-319
2020-01-25T23:00:00Z;-251
2020-01-25T23:30:00Z;  29
2020-01-26T00:00:00Z;  25
2020-01-26T00:30:00Z;  28
2020-01-26T01:00:00Z;  32
2020-01-26T01:30:00Z;  36
2020-01-26T02:00:00Z;  37
2020-01-26T02:30:00Z;  37
2020-01-26T03:00:00Z;  36
2020-01-26T03:30:00Z;  36
2020-01-26T04:00:00Z;  35
2020-01-26T04:30:00Z;  31
2020-01-26T05:00:00Z;  28
2020-01-26T05:30:00Z;  21
2020-01-26T06:00:00Z;  13
2020-01-26T06:30:00Z;  -8
2020-01-26T07:00:00Z; -19
2020-01-26T07:30:00Z; -23
2020-01-26T08:00:00Z; -25
2020-01-26T08:30:00Z;   0
2020-01-26T09:00:00Z;   0
2020-01-26T09:30:00Z;   0
2020-01-26T10:00:00Z;   0
2020-01-26T10:30:00Z;   0
2020-01-26T11:00:00Z;   0
2020-01-26T11:30:00Z;   0
2020-01-26T12:00:00Z;   0
2020-01-26T12:30:00Z;   0
2020-01-26T13:00:00Z;   0
2020-01-26T13:30:00Z;   0
2020-01-26T14:00:00Z;   0
2020-01-26T14:30:00Z;   0
2020-01-26T15:00:00Z;   0
2020-01-26T15:30:00Z;   0
2020-01-26T16:00:00Z;   0
2020-01-26T16:30:00Z;   0
2020-01-26T17:00:00Z;   0
2020-01-26T17:30:00Z;   0
2020-01-26T18:00:00Z;   0
2020-01-26T18:30:00Z;   0
2020-01-26T19:00:00Z;-357
2020-01-26T19:30:00Z;-481
2020-01-26T20:00:00Z;-567
2020-01-26T20:30:00Z;-532
2020-01-26T21:00:00Z;-424
2020-01-26T21:30:00Z;-357
2020-01-26T22:00:00Z;-276
2020-01-26T22:30:00Z;-319
2020-01-26T23:00:00Z;-298
2020-01-26T23:30:00Z;-276
2020-01-27T00:00:00Z;-224
2020-01-27T00:30:00Z;  22
2020-01-27T01:00:00Z;  25
2020-01-27T01:30:00Z;  30
2020-01-27T02:00:00Z;  34
2020-01-27T02:30:00Z;  37
2020-01-27T03:00:00Z;  37
2020-01-27T03:30:00Z;  37
2020-01-27T04:00:00Z;  35
2020-01-27T04:30:00Z;  34
2020-01-27T05:00:00Z;  33
2020-01-27T05:30:00Z;  33
2020-01-27T06:00:00Z;  29
2020-01-27T06:30:00Z;  24
2020-01-27T07:00:00Z;  20
2020-01-27T07:30:00Z;  -6
2020-01-27T08:00:00Z; -17
2020-01-27T08:30:00Z; -19
2020-01-27T09:00:00Z; -21
2020-01-27T09:30:00Z; -16
2020-01-27T10:00:00Z;  -8
2020-01-27T10:30:00Z;   2
2020-01-27T11:00:00Z;   2
2020-01-27T11:30:00Z;   2
2020-01-27T12:00:00Z;   8
2020-01-27T12:30:00Z;  16
2020-01-27T13:00:00Z;  22
2020-01-27T13:30:00Z;  26
2020-01-27T14:00:00Z;  30
2020-01-27T14:30:00Z;  33
2020-01-27T15:00:00Z;  37
2020-01-27T15:30:00Z;  38
2020-01-27T16:00:00Z;  34
2020-01-27T16:30:00Z;  33
2020-01-27T17:00:00Z;  29
2020-01-27T17:30:00Z;  31
2020-01-27T18:00:00Z;  27
2020-01-27T18:30:00Z;  23
2020-01-27T19:00:00Z;  15
2020-01-27T19:30:00Z;-101
2020-01-27T20:00:00Z;-375
2020-01-27T20:30:00Z;-467
2020-01-27T21:00:00Z;-494
2020-01-27T21:30:00Z;-439
2020-01-27T22:00:00Z;-319
2020-01-27T22:30:00Z;-319
2020-01-27T23:00:00Z;-339
2020-01-27T23:30:00Z;-357
2020-01-28T00:00:00Z;-392
2020-01-28T00:30:00Z;-276
2020-01-28T01:00:00Z;  46
2020-01-28T01:30:00Z;  42
2020-01-28T02:00:00Z;  55
2020-01-28T02:30:00Z;  62
2020-01-28T03:00:00Z;  71
2020-01-28T03:30:00Z;  73
2020-01-28T04:00:00Z;  72
2020-01-28T04:30:00Z;  33
2020-01-28T05:00:00Z;  30
2020-01-28T05:30:00Z;  27
2020-01-28T06:00:00Z;   0
2020-01-28T06:30:00Z;   0
2020-01-28T07:00:00Z;   0
2020-01-28T07:30:00Z;   0
2020-01-28T08:00:00Z;   0
2020-01-28T08:30:00Z;   0
2020-01-28T09:00:00Z;   0
2020-01-28T09:30:00Z;   0
2020-01-28T10:00:00Z;   0
2020-01-28T10:30:00Z;   0
2020-01-28T11:00:00Z;   0
2020-01-28T11:30:00Z;   0
2020-01-28T12:00:00Z;   0
2020-01-28T12:30:00Z;   0
2020-01-28T13:00:00Z;   0
2020-01-28T13:30:00Z;   0
2020-01-28T14:00:00Z;   0
2020-01-28T14:30:00Z;   0
2020-01-28T15:00:00Z;   0
2020-01-28T15:30:00Z;   0
2020-01-28T16:00:00Z;   0
2020-01-28T16:30:00Z;   0
2020-01-28T17:00:00Z;   0
2020-01-28T17:30:00Z;   0
2020-01-28T18:00:00Z;   0
2020-01-28T18:30:00Z;   0
2020-01-28T19:00:00Z;   0
2020-01-28T19:30:00Z;   0
2020-01-28T20:00:00Z;   0
2020-01-28T20:30:00Z;   0
2020-01-28T21:00:00Z;   0
2020-01-28T21:30:00Z;   0
2020-01-28T22:00:00Z;   0
2020-01-28T22:30:00Z;   0
2020-01-28T23:00:00Z;   0
2020-01-28T23:30:00Z;   0
2020-01-29T00:00:00Z;   0
2020-01-29T00:30:00Z;   0
2020-01-29T01:00:00Z;   0
2020-01-29T01:30:00Z;   0
2020-01-29T02:00:00Z;   0
2020-01-29T02:30:00Z;   0
2020-01-29T03:00:00Z;   0
2020-01-29T03:30:00Z;   0
2020-01-29T04:00:00Z;   0
2020-01-29T04:30:00Z;   0
2020-01-29T05:00:00Z;   0
2020-01-29T05:30:00Z;   0
2020-01-29T06:00:00Z;   0
2020-01-29T06:30:00Z;   0
2020-01-29T07:00:00Z;   0
2020-01-29T07:30:00Z;   0
2020-01-29T08:00:00Z;   0
2020-01-29T08:30:00Z;   0
2020-01-29T09:00:00Z;   0
2020-01-29T09:30:00Z;   0
2020-01-29T10:00:00Z;   0
2020-01-29T10:30:00Z;   0
2020-01-29T11:00:00Z;   0
2020-01-29T11:30:00Z;   0
